105.275, 164
105.825, 160
106.375, 146
106.925, 116
107.475, 134
108.025, 135
108.575, 149
109.125, 112
109.675, 126
110.225, 133
110.775, 127
111.325, 113
111.875, 126
112.425, 113
112.975, 128
113.525, 99
114.075, 88
114.625, 104
115.175, 105
115.725, 99
116.275, 106
116.825, 89
117.375, 89
117.925, 95
118.475, 61
119.025, 87
119.575, 77
120.125, 72
120.675, 67
121.225, 70
121.775, 63
122.325, 81
122.875, 85
123.425, 66
123.975, 62
124.525, 72
125.075, 55
125.625, 53
126.175, 57
126.725, 66
127.275, 63
127.825, 55
128.375, 53
128.925, 60
129.475, 56
130.025, 48
130.575, 49
131.125, 64
131.675, 48
132.225, 47
132.775, 44
133.325, 48
133.875, 52
134.425, 47
134.975, 51
135.525, 51
136.075, 37
136.625, 35
137.175, 40
137.725, 32
138.275, 36
138.825, 31
139.375, 36
139.925, 36
140.475, 42
141.025, 27
141.575, 36
142.125, 33
142.675, 22
143.225, 34
143.775, 30
144.325, 31
144.875, 29
145.425, 32
145.975, 35
146.525, 24
147.075, 26
147.625, 22
148.175, 19
148.725, 30
149.275, 22
149.825, 30
150.375, 22
150.925, 23
151.475, 13
152.025, 31
152.575, 25
153.125, 26
153.675, 14
154.225, 16
154.775, 32
155.325, 16
155.875, 12
156.425, 21
156.975, 13
157.525, 8
158.075, 20
158.625, 16
159.175, 22
159.725, 16
